Year,Month,Measure,Value
1872,Mar,max,48
1872,Mar,mean,18
1872,Mar,min,-8
1872,Apr,max,85
1872,Apr,mean,38
1872,Apr,min,28
1872,May,max,85
1872,May,mean,51
1872,May,min,40
1872,Jun,max,94
1872,Jun,mean,61
1872,Jun,min,47
1872,Jul,max,98
1872,Jul,mean,65
1872,Jul,min,55
1872,Aug,max,95
1872,Aug,mean,64
1872,Aug,min,50
1872,Sep,max,95
1872,Sep,mean,56
1872,Sep,min,43
1872,Oct,max,75
1872,Oct,mean,44
1872,Oct,min,35
1872,Nov,max,62
1872,Nov,mean,34
1872,Nov,min,15
1872,Dec,max,47
1872,Dec,mean,16
1872,Dec,min,-8
1873,Jan,max,52
1873,Jan,mean,17
1873,Jan,min,-5
1873,Feb,max,52
1873,Feb,mean,19
1873,Feb,min,-4
1873,Mar,max,60
1873,Mar,mean,26
1873,Mar,min,12
1873,Apr,max,66
1873,Apr,mean,38
1873,Apr,min,34
1873,May,max,89
1873,May,mean,47
1873,May,min,34
1873,Jun,max,93
1873,Jun,mean,57
1873,Jun,min,47
1873,Jul,max,96
1873,Jul,mean,63
1873,Jul,min,55
1873,Aug,max,96
1873,Aug,mean,61
1873,Aug,min,50
1873,Sep,max,90
1873,Sep,mean,53
1873,Sep,min,42
1873,Oct,max,73
1873,Oct,mean,44
1873,Oct,min,32
1873,Nov,max,57
1873,Nov,mean,26
1873,Nov,min,11
1873,Dec,max,62
1873,Dec,mean,25
1873,Dec,min,6
1874,Jan,max,60
1874,Jan,mean,23
1874,Jan,min,0
1874,Feb,max,54
1874,Feb,mean,19
1874,Feb,min,0
1874,Mar,max,63
1874,Mar,mean,26
1874,Mar,min,6
1874,Apr,max,67
1874,Apr,mean,31
1874,Apr,min,11
1874,May,max,86
1874,May,mean,46
1874,May,min,32
1874,Jun,max,98
1874,Jun,mean,57
1874,Jun,min,49
1874,Jul,max,94
1874,Jul,mean,63
1874,Jul,min,54
1874,Aug,max,91
1874,Aug,mean,59
1874,Aug,min,51
1874,Sep,max,90
1874,Sep,mean,57
1874,Sep,min,46
1874,Oct,max,71
1874,Oct,mean,44
1874,Oct,min,36
1874,Nov,max,64
1874,Nov,mean,33
1874,Nov,min,13
1874,Dec,max,59
1874,Dec,mean,22
1874,Dec,min,-2
1875,Jan,max,36
1875,Jan,mean,12
1875,Jan,min,-2
1875,Feb,max,60
1875,Feb,mean,13
1875,Feb,min,-5
1875,Mar,max,56
1875,Mar,mean,23
1875,Mar,min,2
1875,Apr,max,69
1875,Apr,mean,34
1875,Apr,min,21
1875,May,max,84
1875,May,mean,48
1875,May,min,37
1875,Jun,max,94
1875,Jun,mean,56
1875,Jun,min,46
1875,Jul,max,93
1875,Jul,mean,62
1875,Jul,min,54
1875,Aug,max,87
1875,Aug,mean,63
1875,Aug,min,54
1875,Sep,max,87
1875,Sep,mean,51
1875,Sep,min,35
1875,Oct,max,74
1875,Oct,mean,42
1875,Oct,min,30
1875,Nov,max,60
1875,Nov,mean,26
1875,Nov,min,-2
1875,Dec,max,58
1875,Dec,mean,22
1875,Dec,min,-11
1876,Jan,max,70
1876,Jan,mean,22
1876,Jan,min,5
1876,Feb,max,56
1876,Feb,mean,19
1876,Feb,min,-6
1876,Mar,max,68
1876,Mar,mean,25
1876,Mar,min,5
1876,Apr,max,76
1876,Apr,mean,35
1876,Apr,min,24
1876,May,max,86
1876,May,mean,46
1876,May,min,34
1876,Jun,max,90
1876,Jun,mean,60
1876,Jun,min,44
1876,Jul,max,96
1876,Jul,mean,65
1876,Jul,min,52
1876,Aug,max,96
1876,Aug,mean,62
1876,Aug,min,50
1876,Sep,max,91
1876,Sep,mean,53
1876,Sep,min,44
1876,Oct,max,70
1876,Oct,mean,39
1876,Oct,min,26
1876,Nov,max,75
1876,Nov,mean,35
1876,Nov,min,14
1876,Dec,max,48
1876,Dec,mean,13
1876,Dec,min,-4
1877,Jan,max,50
1877,Jan,mean,16
1877,Jan,min,2
