Year,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1872,max,,,48,85,85,94,98,95,95,75,62,47,
1873,max,52,52,60,66,89,93,96,96,90,73,57,62,
1874,max,60,54,63,67,86,98,94,91,90,71,64,59,
1875,max,36,60,56,69,84,94,93,87,87,74,60,58,
1876,max,70,56,68,76,86,90,96,96,91,70,75,48,
1877,max,50,56,57,73,86,92,91,92,88,82,66,59,
1878,max,54,56,71,77,85,92,98,87,91,80,61,59,
1879,max,56,56,61,70,93,96,94,95,89,88,69,63,
1880,max,59,64,72,73,97,93,101,96,93,80,64,50,
1881,max,48,55,53,80,91,86,89,97,102,90,71,66,
1882,max,52,60,61,68,81,94,98,92,88,83,72,54,
1883,max,50,60,58,74,88,91,96,92,79,80,69,58,
1884,max,52,59,60,69,88,93,90,94,94,83,65,62,
1885,max,60,52,59,82,84,92,93,89,84,73,69,63,
1886,max,54,57,64,84,85,82,95,90,85,80,66,55,
1887,max,56,48,53,80,89,89,95,86,80,73,69,59,
1888,max,57,56,58,66,77,96,89,88,80,69,74,60,
1889,max,60,50,64,81,91,87,86,84,83,74,66,65,
1890,max,66,64,68,72,80,87,95,89,83,77,64,56,
1891,max,56,62,55,78,81,96,90,90,90,83,66,64,
1892,max,63,46,56,77,78,96,96,94,80,78,66,48,
1893,max,53,53,58,68,88,94,91,93,80,79,68,57,
1894,max,56,51,70,79,88,95,97,90,88,76,66,55,
1895,max,54,46,58,80,90,96,85,89,96,70,73,64,
1896,max,45,56,64,84,94,92,93,95,90,76,72,58,
1897,max,60,52,57,81,76,87,94,86,94,88,68,64,
1898,max,55,59,66,72,84,92,99,94,92,85,63,58,
1899,max,57,54,65,83,89,93,94,90,82,77,66,66,
1900,max,60,60,59,81,93,94,97,97,91,82,73,59,
1901,max,50,47,58,75,84,97,96,88,89,76,65,64,
1902,max,54,52,69,75,88,92,91,85,89,76,70,58,
1903,max,50,62,76,83,88,85,93,86,91,76,74,55,
1904,max,46,49,70,70,87,92,89,89,86,74,60,49,
1905,max,52,43,69,74,83,90,94,90,81,80,64,61,
1906,max,68,63,56,70,86,88,89,93,90,73,68,54,
1907,max,58,52,71,73,81,94,91,94,87,74,61,64,
1908,max,57,60,70,85,88,90,97,90,88,80,65,67,
1909,max,60,59,55,83,83,94,95,94,82,77,76,56,
1910,max,57,60,78,78,86,92,94,88,82,85,61,55,
1911,max,60,56,66,80,92,86,104,92,85,73,68,68,
1912,max,53,57,64,77,86,92,99,90,90,86,70,69,
1913,max,62,60,73,76,78,91,96,96,86,74,71,56,
1914,max,63,56,74,87,95,94,90,90,94,83,74,62,
1915,max,62,61,60,84,80,87,90,89,94,78,72,61,
1916,max,66,57,55,68,85,84,93,95,90,84,68,59,
1917,max,55,53,61,72,80,87,98,98,83,71,65,48,
1918,max,54,57,69,76,89,92,98,96,81,79,65,63,
1919,max,59,52,63,68,93,98,101,90,91,81,65,61,
1920,max,48,52,72,67,86,90,90,93,85,82,64,58,
1921,max,56,59,83,77,93,93,95,92,93,79,72,58,
1922,max,51,56,79,85,86,92,93,93,84,87,66,61,
1923,max,55,45,67,87,89,96,94,94,82,81,62,62,
1924,max,61,44,59,69,76,90,95,98,90,81,76,64,
1925,max,48,59,72,82,83,100,95,92,90,79,66,59,
1926,max,56,48,60,78,84,88,103,94,89,84,71,51,
1927,max,52,49,69,89,77,90,95,85,85,89,76,65,
1928,max,58,54,70,84,74,90,94,96,85,88,76,61,
1929,max,60,56,69,84,96,94,94,90,97,78,77,52,
1930,max,64,68,60,78,95,95,94,98,91,87,71,58,
1931,max,55,49,57,78,94,97,97,97,95,84,78,61,
1932,max,69,55,63,76,93,88,90,91,87,81,66,66,
